block,complex_id,influence,command
expA_of3_SECONDARY_B_dpred,3NGB_HL_G,-0.008860785511966063,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4L3E_ABC_DE,-0.008756548390315505,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3AAA_AB_C,-0.008402083162676655,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1R0R_E_I,-0.008229170778341122,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3Q8D_A_E,-0.008216219272663527,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1XGU_AB_C,-0.007884015414395845,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1FC2_C_D,-0.007858923813345964,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4JFF_ABC_DE,-0.007504328765050583,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3BT1_A_U,-0.0072047120939066345,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3QIB_ABP_CD,-0.005685452733220381,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2NYY_DC_A,-0.005433206643034677,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1NMB_N_LH,-0.005346694469513968,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1XGT_AB_C,-0.005309433262164848,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4CVW_A_C,-0.004893243541499032,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1AO7_ABC_DE,-0.004838762599225804,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3NPS_A_BC,-0.004789339036443102,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1DQJ_AB_C,-0.004762896006429901,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4KRO_A_B,-0.004727029067814803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3C60_CD_AB,-0.004677015352650277,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2AK4_ABC_DE,-0.004344841109864106,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1JCK_A_B,-0.003930408909920108,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1VFB_AB_C,-0.003660199580791723,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3MZG_A_B,-0.0036235466993937426,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1E50_A_B,-0.003588399210421339,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1A4Y_A_B,-0.003502323522590639,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1XGR_AB_C,-0.0032495238133459503,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3BX1_A_C,-0.0031158316611149817,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3SE3_B_A,-0.003012277673077962,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4YFD_A_B,-0.0028857280967135857,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4G0N_A_B,-0.0027575628460539403,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2BNR_ABC_DE,-0.0027105535414990445,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4MNQ_ABC_DE,-0.0022852843309726922,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1GUA_A_B,-0.002239875909920086,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3SF4_A_D,-0.002188461766101879,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1S1Q_A_B,-0.001688781556128116,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2B42_A_B,-0.0014985917923485692,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1SMF_E_I,-0.001456835844842047,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1AHW_AB_C,-0.0014453361730779601,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2G2U_A_B,-0.001440008804656917,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4FZA_A_B,-0.0010979032783411113,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3U82_A_B,-0.0010877849682016105,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3EQY_A_C,-0.0010378169891989975,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2BTF_A_P,-0.0008805096401176271,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3M63_A_B,-0.0007258919753415638,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2GOX_A_B,-0.0006976818185953082,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4O27_A_B,-0.0004744969625516404,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3F1S_A_B,-0.00015654521571231705,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1MI5_ABC_DE,-4.228095028960266e-05,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3QHY_A_B,4.920295968308119e-05,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,2NZ9_DC_A,0.00012519346460398983,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1PPF_E_I,0.00020346283757266548,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3BK3_A_C,0.00022789035988238227,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4JEU_A_B,0.0005483446163956907,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4B0M_A_BM,0.0005872118532378179,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,3SGB_E_I,0.0006112285488587832,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1GCQ_AB_C,0.0006786121446592519,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
